,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
5228,5228,72.79667499703,43.64213639854,206043638623627520,0.7592,6.16,1.526,-5.968,10.494707,0.002768,10.693822,0.002861,10.145202,0.003798,9.990071,0.011691,0.54862,0.199115,0.349505,,8954.4,1158.8712,5.4146,210.85732,3.315,0.271,0.35878167,A      
383228,97555,54.18552804348,48.24724807117,249027671320372864,0.8442,7.309,-1.698,-7.109,14.99727,0.002769,15.670503,0.00437,14.186888,0.003862,13.860451,0.059461,1.483615,0.673233,0.810382,,5505.4,996.1777,1.6566,2.908426,1.085,8.211,0.4958959,G      
353568,67895,87.00841565261,45.30328840399,197614507603150592,1.101,6.654,-6.48,-1.513,14.555149,0.002766,15.074621,0.003061,13.868361,0.003885,13.549993,0.056726,1.20626,0.519472,0.686788,,5818.2,856.8832,1.3075,1.8343338,1.009,9.435,0.40594912,G      
497510,11837,141.43273291247,21.28414870525,637536325419246336,4.3885,17.746,-1.216,-17.704,15.180923,0.002778,16.251362,0.003456,14.154129,0.004,13.567982,0.065486,2.097233,1.070438,1.026794,,3943.5,218.6995,0.6194,0.090382226,0.623,10.025,0.6468707,M      
507509,21836,182.5888340197,53.63527398977,1572965427802393600,6.2778,23.701,-18.583,14.711,15.082804,0.002773,16.214447,0.00371,14.026957,0.003883,13.457961,0.063591,2.187491,1.131643,1.055847,,3731.7,158.4182,0.5108,0.045525897,0.527,10.719,0.6255219,M      
514409,28736,306.28728610121,23.05697178918,1830842926487492096,0.2667,5.853,-2.613,-5.237,12.302862,0.002782,13.783557,0.003644,11.12069,0.003876,10.588575,0.00753,2.662867,1.480695,1.182172,,3697.3,4914.0156,91.9135,686.93854,1.815,1.593,0.01073426,M      
337064,51391,63.4508734686,28.97805906469,165522683766658048,1.8236,10.842,-5.273,-9.473,13.797013,0.002773,14.357942,0.008456,12.999378,0.006743,12.668226,0.06707,1.358563,0.560928,0.797635,,6143.4,534.2421,1.2874,2.149969,1.148,3.877,0.38714814,G      
408462,22789,56.81315957299,28.62891266325,71718154183506560,1.5716,16.971,12.99,-10.92,11.841212,0.002762,12.402588,0.002823,11.129745,0.003795,10.838467,0.010976,1.272843,0.561376,0.711468,,4979.1,639.382,3.982,8.358309,1.38,3.64,0.20396908,K      
23182,23182,25.67452768384,64.61536182996,513003881818813312,1.3781,5.867,2.369,-5.367,12.047839,0.002763,12.264191,0.002844,11.686626,0.003794,11.468655,0.062431,0.577565,0.216352,0.361214,,9210.1,679.7266,1.6026,15.4448805,1.921,0.318,0.49500883,A      
554694,69021,83.21504742829,33.18125874585,3449066546387493504,0.3179,2.338,0.833,-2.185,14.550172,0.002774,15.556035,0.003409,13.560906,0.00386,12.970621,0.04904,1.995129,1.005863,0.989265,,5844.7,6163.9053,18.5051,62.770752,2.482,0.623,0.10870528,M      
167454,67454,25.06023063673,64.68499459788,513013266328553856,0.1444,1.363,-1.346,0.215,15.346236,0.002774,16.03484,0.003375,14.519469,0.00389,,,1.51537,0.688603,0.826767,,9754.2,3162.6597,3.4281,99.892525,2.82,0.362,0.4105698,B      
50160,50160,342.22696948929,55.5185887476,2003659353780239232,0.3449,2.548,-1.363,-2.153,14.805342,0.002774,15.189879,0.003097,14.238408,0.003903,13.954393,0.096009,0.951471,0.384538,0.566934,1.5272,7359.5,2513.1492,2.4902,17.181597,1.854,1.107,0.4087793,A      
69407,69407,320.89054925743,59.47582567557,2191639764400594304,1.0711,2.13,-0.303,-2.108,12.405717,0.002764,12.757181,0.002875,11.864491,0.003802,11.645594,0.017891,0.892691,0.351464,0.541226,,9399.2,675.6695,1.6882,39.372383,2.326,0.433,0.77978045,A      
355671,69998,77.40877684867,40.99228595408,201031549227462656,1.0301,1.885,-0.536,-1.808,14.649282,0.002799,15.049188,0.003599,14.073852,0.004031,13.860415,0.139394,0.975336,0.399905,0.575431,,5896.1,908.274,1.0651,1.3530514,1.057,4.075,0.67563593,G      
